                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.73228,                0.50396,                0.93168,                0.88703,                0.88336,                0.91383,                0.75669,                0.71032,                0.60341,                0.93527,             0.00090785,             0.00090785,             0.00090785
                     49,                0.71679,                0.48995,                0.92347,                0.90661,                 0.8925,                 0.9198,                0.77044,                0.69819,                0.56241,                0.93422,             0.00089134,             0.00089134,             0.00089134
                     50,                0.70125,                0.46793,                0.92199,                 0.8482,                0.85118,                0.89311,                0.73615,                0.75281,                0.64715,                0.95252,             0.00087484,             0.00087484,             0.00087484
                     51,                0.70534,                0.46969,                0.93372,                0.87055,                0.87043,                0.91504,                0.76914,                0.69468,                0.57958,                0.94045,             0.00085834,             0.00085834,             0.00085834
                     52,                0.72323,                0.48845,                0.93636,                0.90565,                0.87716,                0.91684,                0.75366,                0.73241,                0.58311,                 0.9567,             0.00084184,             0.00084184,             0.00084184
                     53,                0.70623,                0.47784,                 0.9258,                 0.8664,                0.87998,                0.89976,                0.74894,                0.69755,                0.63201,                0.95516,             0.00082533,             0.00082533,             0.00082533
                     54,                0.69215,                 0.4609,                0.92743,                0.89827,                0.87823,                0.91696,                0.76263,                0.71141,                0.56164,                0.94005,             0.00080883,             0.00080883,             0.00080883
                     55,                0.70934,                0.47147,                0.92933,                 0.8843,                0.87491,                0.91068,                0.74946,                   0.76,                0.60323,                0.94626,             0.00079233,             0.00079233,             0.00079233
                     56,                0.69914,                0.46463,                0.92097,                0.88806,                0.89046,                0.92488,                 0.7795,                0.69912,                0.56343,                0.93797,             0.00077582,             0.00077582,             0.00077582
                     57,                0.68101,                0.44734,                 0.9178,                0.90319,                0.86686,                0.92469,                0.78176,                0.67639,                0.55273,                0.92565,             0.00075932,             0.00075932,             0.00075932
                     58,                0.67194,                0.43953,                0.91503,                0.88711,                0.86006,                0.90887,                0.75833,                0.71802,                  0.619,                0.93715,             0.00074282,             0.00074282,             0.00074282
                     59,                0.68914,                0.44195,                0.91624,                0.89656,                0.89622,                0.91983,                0.78324,                 0.6946,                0.54122,                0.93154,             0.00072631,             0.00072631,             0.00072631
                     60,                0.68412,                0.44893,                0.92188,                0.89157,                  0.889,                0.92119,                 0.7783,                0.68912,                0.54933,                0.93569,             0.00070981,             0.00070981,             0.00070981
                     61,                0.67291,                0.44565,                0.91576,                0.86631,                0.86721,                0.88188,                0.72539,                0.72526,                0.62498,                0.93946,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.6682,                0.43715,                0.91221,                0.88983,                0.86573,                 0.9101,                0.75234,                0.74907,                0.60435,                0.95606,              0.0006768,              0.0006768,              0.0006768
                     63,                0.66713,                 0.4324,                0.91376,                0.90022,                0.88998,                0.90159,                0.76566,                 0.7062,                0.57117,                0.94394,              0.0006603,              0.0006603,              0.0006603
                     64,                0.65607,                0.42763,                0.91447,                0.89129,                 0.8917,                0.90913,                0.76888,                0.70903,                0.56602,                0.94349,              0.0006438,              0.0006438,              0.0006438
                     65,                0.64672,                0.41672,                0.90521,                 0.9014,                0.89471,                0.92132,                0.77741,                 0.7143,                0.54343,                0.93831,             0.00062729,             0.00062729,             0.00062729
                     66,                0.65418,                0.42009,                0.91202,                0.88795,                0.87877,                0.91742,                0.78072,                0.67496,                0.57861,                0.92323,             0.00061079,             0.00061079,             0.00061079
                     67,                0.63791,                0.40421,                0.90342,                0.89526,                0.87445,                0.91898,                0.76634,                0.73562,                0.56939,                0.94692,             0.00059429,             0.00059429,             0.00059429
                     68,                0.64302,                0.41239,                0.90511,                 0.8879,                0.86196,                0.90218,                0.75457,                 0.7262,                0.61765,                0.94835,             0.00057778,             0.00057778,             0.00057778
                     69,                0.65617,                0.41911,                0.90778,                0.88845,                0.89767,                0.92879,                0.78782,                0.67709,                0.52682,                0.93106,             0.00056128,             0.00056128,             0.00056128
                     70,                0.63822,                0.40538,                  0.914,                0.90639,                0.90533,                0.92437,                0.78984,                0.66953,                0.52173,                0.93283,             0.00054478,             0.00054478,             0.00054478
                     71,                0.62593,                0.39763,                0.90211,                0.88452,                0.89251,                0.91391,                0.76801,                0.68878,                0.57312,                0.92906,             0.00052827,             0.00052827,             0.00052827
                     72,                0.63279,                0.40782,                0.90688,                0.87279,                0.88781,                0.91361,                0.77615,                0.69084,                0.57473,                0.93217,             0.00051177,             0.00051177,             0.00051177
                     73,                0.62517,                0.38802,                0.90132,                0.89416,                0.88471,                0.92317,                0.78918,                0.67753,                0.54086,                0.93326,             0.00049527,             0.00049527,             0.00049527
                     74,                0.62039,                0.39232,                0.89963,                0.89366,                0.89797,                0.91211,                 0.7757,                0.68401,                0.52222,                   0.94,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.6306,                0.39008,                0.90403,                0.89827,                0.89694,                0.92077,                0.78741,                 0.6731,                0.51796,                0.93758,             0.00046226,             0.00046226,             0.00046226
                     76,                0.61138,                0.37956,                0.89556,                0.89778,                0.88241,                0.92052,                0.78218,                0.68494,                0.55364,                 0.9341,             0.00044576,             0.00044576,             0.00044576
